ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
xuebinqin/u-2-net,xuebinqin/U-2-Net,"['computer-vision', 'deep-learning', 'image-background-removal', 'image-processing', 'image-segmentation', 'u-2-net', 'u2net']","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
peterl1n/robustvideomatting,PeterL1n/RobustVideoMatting,"['computer-vision', 'machine-learning', 'ai', 'matting', 'deep-learning']","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!"
jack-cherish/pythonpark,Jack-Cherish/PythonPark,"['python3', 'pytorch', 'deeplearning', 'deep-learning', 'webspider', 'python', 'python-spider']",Python 开源项目之「自学编程之路」，保姆级教程：AI实验室、宝藏视频、数据结构、学习指南、机器学习实战、深度学习实战、网络爬虫、大厂面经、程序人生、资源分享。
geohot/tinygrad,geohot/tinygrad,[],You like pytorch? You like micrograd? You love tinygrad! ❤️ 
eleutherai/gpt-neo,EleutherAI/gpt-neo,"['language-model', 'transformers', 'gpt', 'gpt-2', 'gpt-3']",An implementation of model parallel GPT-2 and GPT-3-style models using the mesh-tensorflow library.
lucidrains/imagen-pytorch,lucidrains/imagen-pytorch,"['artificial-intelligence', 'deep-learning', 'text-to-image', 'imagination-machine', 'text-to-video']","Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch"
sanster/lama-cleaner,Sanster/lama-cleaner,"['inpainting', 'pytorch', 'lama', 'latent-diffusion', 'mat', 'zits', 'stable-diffusion']","Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures."
paddlepaddle/paddlenlp,PaddlePaddle/PaddleNLP,"['nlp', 'seq2seq', 'embedding', 'bert', 'ernie', 'paddlenlp', 'pretrained-models', 'transformers', 'information-extraction', 'question-answering', 'search-engine', 'semantic-analysis', 'sentiment-analysis', 'neural-search', 'uie', 'image-generation', 'document-intelligence', 'stable-diffusion', 'aigc', 'compression']","👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis and 🖼 Diffusion AIGC system etc."
serengil/deepface,serengil/deepface,"['face-recognition', 'vgg-face', 'facenet', 'openface', 'facial-expression-recognition', 'age-prediction', 'gender-prediction', 'race-classification', 'emotion-recognition', 'deep-learning', 'machine-learning', 'deepface', 'face-analysis', 'python', 'deepid', 'arcface', 'embedding', 'facial-recognition']","A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
rangilyu/nanodet,RangiLyu/nanodet,"['deep-neural-networks', 'deep-learning', 'object-detection', 'anchor-free', 'ncnn', 'shufflenet', 'pytorch', 'mnn', 'repvgg', 'openvino', 'efficientnet', 'android', 'model-zoo', 'nanodet-plus', 'nanodet']",NanoDet-Plus⚡Super fast and lightweight anchor-free object detection model. 🔥Only 980 KB(int8) / 1.8MB (fp16) and run 97FPS on cellphone🔥
aladdinpersson/machine-learning-collection,aladdinpersson/Machine-Learning-Collection,"['pytorch', 'pytorch-implementation', 'pytorch-tutorial', 'pytorch-gan', 'pytorch-examples', 'tensorflow2', 'tensorflow-tutorials', 'tensorflow-examples', 'machine-learning', 'machine-learning-algorithms', 'pytorch-tutorials']",A resource for learning about Machine learning & Deep Learning
anjok07/ultimatevocalremovergui,Anjok07/ultimatevocalremovergui,"['vocal-remover', 'pytorch', 'source', 'separation', 'kareokee', 'karaoke', 'spectrogram', 'instrumental', 'vocal', 'vocals', 'audio', 'music']", GUI for a Vocal Remover that uses Deep Neural Networks.
lucidrains/dalle-pytorch,lucidrains/DALLE-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'text-to-image', 'transformers', 'multi-modal']","Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in Pytorch"
openai/jukebox,openai/jukebox,"['paper', 'audio', 'music', 'pytorch', 'generative-model', 'vq-vae', 'transformer']","Code for the paper ""Jukebox: A Generative Model for Music"""
open-mmlab/mmsegmentation,open-mmlab/mmsegmentation,"['semantic-segmentation', 'pytorch', 'pspnet', 'deeplabv3', 'transformer', 'swin-transformer', 'realtime-segmentation', 'vessel-segmentation', 'retinal-vessel-segmentation', 'image-segmentation', 'medical-image-segmentation']",OpenMMLab Semantic Segmentation Toolbox and Benchmark.
speechbrain/speechbrain,speechbrain/speechbrain,"['speech-recognition', 'speech-toolkit', 'speaker-recognition', 'speech-to-text', 'speech-enhancement', 'speech-separation', 'audio', 'audio-processing', 'speech-processing', 'speechrecognition', 'asr', 'voice-recognition', 'spoken-language-understanding', 'speaker-diarization', 'speaker-verification', 'pytorch', 'huggingface', 'transformers', 'language-model', 'deep-learning']",A PyTorch-based Speech Toolkit
hpcaitech/colossalai,hpcaitech/ColossalAI,"['deep-learning', 'hpc', 'large-scale', 'data-parallelism', 'pipeline-parallelism', 'model-parallelism', 'ai', 'big-model', 'distributed-computing', 'inference', 'heterogeneous-training']",Colossal-AI: A Unified Deep Learning System for Big Model Era
tianxiaomo/pytorch-yolov4,Tianxiaomo/pytorch-YOLOv4,"['yolov4', 'pytorch', 'darknet2pytorch', 'darknet2onnx', 'tensorrt', 'onnx', 'pytorch-yolov4', 'yolov4-tiny', 'yolov3']","PyTorch ,ONNX and TensorRT implementation of YOLOv4"
dlr-rm/stable-baselines3,DLR-RM/stable-baselines3,"['reinforcement-learning', 'reinforcement-learning-algorithms', 'machine-learning', 'gym', 'openai', 'baselines', 'toolbox', 'stable-baselines', 'python', 'pytorch', 'robotics', 'sde', 'gsde', 'sb3']","PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. "
lucidrains/deep-daze,lucidrains/deep-daze,"['artificial-intelligence', 'deep-learning', 'transformers', 'siren', 'implicit-neural-representation', 'text-to-image', 'multi-modality']",Simple command line tool for text to image generation using OpenAI's CLIP and Siren (Implicit neural representation network). Technique was originally created by https://twitter.com/advadnoun
nathanua/u-2-net,xuebinqin/U-2-Net,"['computer-vision', 'deep-learning', 'image-background-removal', 'image-processing', 'image-segmentation', 'u-2-net', 'u2net']","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
maartengr/bertopic,MaartenGr/BERTopic,"['bert', 'transformers', 'topic-modeling', 'sentence-embeddings', 'nlp', 'machine-learning', 'topic', 'ldavis', 'topic-modelling', 'topic-models']",Leveraging BERT and c-TF-IDF to create easily interpretable topics. 
systemerrorwang/white-box-cartoonization,SystemErrorWang/White-box-Cartoonization,[],Official tensorflow implementation for CVPR2020 paper “Learning to Cartoonize Using White-box Cartoon Representations”
ashawkey/stable-dreamfusion,ashawkey/stable-dreamfusion,"['text-to-3d', 'gui', 'nerf', 'stable-diffusion', 'dreamfusion']","A pytorch implementation of text-to-3D dreamfusion, powered by stable diffusion."
meituan/yolov6,meituan/YOLOv6,"['object-detection', 'pytorch', 'yolo']",YOLOv6: a single-stage object detection framework dedicated to industrial applications.
babysor/realtime-voice-clone-chinese,babysor/MockingBird,"['ai', 'speech', 'pytorch', 'deep-learning']",🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time
layout-parser/layout-parser,Layout-Parser/layout-parser,"['layout-analysis', 'deep-learning', 'object-detection', 'ocr', 'layout-parser', 'detectron2', 'document-layout-analysis', 'computer-vision', 'document-image-processing', 'layout-detection']",A Unified Toolkit for Deep Learning Based Document Image Analysis
mikel-brostrom/yolov5_strongsort_osnet,mikel-brostrom/yolov8_tracking,"['yolov5', 'strongsort', 'bytetrack', 'ocsort', 'osnet', 'deep-learning', 'segmentation', 'tensorrt', 'tracking-by-detection']",Real-time multi-object tracking and segmentation using YOLOv8
open-mmlab/openpcdet,open-mmlab/OpenPCDet,"['point-cloud', '3d-detection', 'autonomous-driving', 'pv-rcnn', 'object-detection', 'pytorch']",OpenPCDet Toolbox for LiDAR-based 3D Object Detection.
kuprel/min-dalle,kuprel/min-dalle,"['artificial-intelligence', 'deep-learning', 'pytorch', 'text-to-image']","min(DALL·E) is a fast, minimal port of DALL·E Mini to PyTorch"
lyhue1991/eat_pytorch_in_20_days,lyhue1991/eat_pytorch_in_20_days,"['pytorch', 'deep-learning']","Pytorch🍊🍉   is delicious, just eat it! 😋😋"
lucidrains/stylegan2-pytorch,lucidrains/stylegan2-pytorch,"['generative-adversarial-network', 'artificial-intelligence', 'pytorch', 'machine-learning', 'generative-model']","Simplest working implementation of Stylegan2, state of the art generative adversarial network, in Pytorch. Enabling everyone to experience disentanglement"
replicate/cog,replicate/cog,"['containers', 'cuda', 'deep-learning', 'docker', 'machine-learning', 'pytorch', 'tensorflow']",Containers for machine learning
microsoft/hummingbird,microsoft/hummingbird,"['machine-learning', 'neural-networks', 'scikit-learn', 'pytorch', 'tensor-computation']",Hummingbird compiles trained ML models into tensor computation for faster inference.
zhanghang1989/resnest,zhanghang1989/ResNeSt,"['deep-learning', 'resnet', 'resnest', 'pytorch', 'detectron-models', 'split-attention-networks']",ResNeSt: Split-Attention Networks
postech-cvlab/pytorch-studiogan,POSTECH-CVLab/PyTorch-StudioGAN,"['pytorch', 'deep-learning', 'generative-adversarial-network', 'biggan', 'stylegan2', 'machine-learning', 'stylegan2-ada', 'stylegan3', 'data-efficient-gan-training', 'clean-fid']",StudioGAN is a Pytorch library providing implementations of representative Generative Adversarial Networks (GANs) for conditional/unconditional image generation.
antixk/pytorch-vae,AntixK/PyTorch-VAE,"['pytorch', 'pytorch-implementation', 'vae', 'vae-implementation', 'deep-learning', 'reproducible-research', 'paper-implementations', 'pytorch-vae', 'variational-autoencoders', 'architecture', 'beta-vae', 'vqvae', 'gumbel-softmax', 'celeba-dataset', 'iwae', 'wae', 'dfc-vae']",A Collection of Variational Autoencoders (VAE) in PyTorch.
mingchaozhu/deeplearning,MingchaoZhu/DeepLearning,"['python', 'deep-learning', 'machine-learning', 'xgboost', 'ensemble-learning', 'bayesian', 'regularization']",Python for《Deep Learning》，该书为《深度学习》(花书) 数学推导、原理剖析与源码级别代码实现
pair-code/lit,PAIR-code/lit,"['machine-learning', 'natural-language-processing', 'visualization']",The Learning Interpretability Tool: Interactively analyze ML models to understand their behavior in an extensible and framework agnostic interface.
megvii-research/eccv2022-rife,megvii-research/ECCV2022-RIFE,"['video-interpolation', 'computer-vision', 'slomo-filter', 'deep-learning']",ECCV2022-Real-Time Intermediate Flow Estimation for Video Frame Interpolation
nidhaloff/igel,nidhaloff/igel,"['machine-learning', 'machinelearning', 'machine-learning-algorithms', 'machine-learning-library', 'artificial-intelligence', 'neural-network', 'neural-networks', 'sklearn', 'scikit-learn', 'scikitlearn-machine-learning', 'data-science', 'data-analysis', 'preprocessing', 'automation', 'automl', 'automl-experiments', 'hacktoberfest', 'hacktoberfest2021']","a delightful machine learning tool that allows you to train, test, and use models without writing code"
ifzhang/bytetrack,ifzhang/ByteTrack,"['multi-object-tracking', 'real-time', 'deployment', 'pytorch']",[ECCV 2022] ByteTrack: Multi-Object Tracking by Associating Every Detection Box
open-mmlab/mmdetection3d,open-mmlab/mmdetection3d,"['pytorch', '3d-object-detection', 'object-detection', 'point-cloud']",OpenMMLab's next-generation platform for general 3D object detection.
minivision-ai/photo2cartoon,minivision-ai/photo2cartoon,"['cartoon', 'deep-learning', 'computer-vision', 'gan', 'avatar-generator']",人像卡通化探索项目 (photo-to-cartoon translation project)
cluebenchmark/cluedatasetsearch,CLUEbenchmark/CLUEDatasetSearch,"['nlp', 'datasets', 'chinese', 'ner', 'qa', 'match', 'text-classification', 'machine-translation', 'knowledge-graph', 'corpus', 'machine-reading-comprehension', 'sentiment-analysis', 'text-similarity', 'text-summarization']",搜索所有中文NLP数据集，附常用英文NLP数据集
open-mmlab/mmocr,open-mmlab/mmocr,"['pytorch', 'ocr', 'deep-learning', 'text-detection', 'text-recognition', 'sar', 'psenet', 'panet', 'maskrcnn', 'key-information-extraction', 'pan', 'dbnet', 'sdmg-r', 'textsnake', 'crnn', 'robustscanner', 'segmentation-based-text-recognition', 'fcenet', 'satrn', 'abinet']","OpenMMLab Text Detection, Recognition and Understanding Toolbox"
lucidrains/denoising-diffusion-pytorch,lucidrains/denoising-diffusion-pytorch,"['artificial-intelligence', 'deep-learning', 'generative-model', 'score-matching']",Implementation of Denoising Diffusion Probabilistic Model in Pytorch
jittor/jittor,Jittor/jittor,"['deep-learning', 'gpu', 'python', 'jittor', 'cuda']",Jittor is a high-performance deep learning framework based on JIT compiling and meta-operators.
neuml/txtai,neuml/txtai,"['python', 'search', 'machine-learning', 'nlp', 'deep-learning', 'document-search', 'audio-search', 'image-search', 'video-search', 'semantic-search', 'similarity-search', 'neural-search', 'contextual-search', 'vector-search', 'machine-learning-workflows', 'machine-learning-pipelines', 'microservice', 'api', 'cloud-native', 'txtai']",💡 Build AI-powered semantic search applications 
microsoft/muzic,microsoft/muzic,"['music', 'music-composition', 'ai-music', 'deep-learning']",Muzic: Music Understanding and Generation with Artificial Intelligence
mikel-brostrom/yolov5_deepsort_osnet,mikel-brostrom/yolov8_tracking,"['yolov5', 'strongsort', 'bytetrack', 'ocsort', 'osnet', 'deep-learning', 'segmentation', 'tensorrt', 'tracking-by-detection']",Real-time multi-object tracking and segmentation using YOLOv8
neuralchen/simswap,neuralchen/SimSwap,"['face', 'deepfakes', 'faceswap', 'gan', 'swap', 'deepfacelab', 'image-manipulation', 'video', 'pytorch']",An arbitrary face-swapping framework on images and videos with one single trained model!
jettify/pytorch-optimizer,jettify/pytorch-optimizer,"['pytorch', 'optimizer', 'diffgrad', 'adamod', 'lamb', 'yogi', 'accsgd', 'adabound', 'novograd', 'shampoo', 'lookahead', 'swats', 'sgdp', 'adabelief', 'apollo', 'hacktoberfest']",torch-optimizer -- collection of optimizers for Pytorch
jbesomi/texthero,jbesomi/texthero,"['text-preprocessing', 'text-representation', 'text-visualization', 'nlp', 'word-embeddings', 'machine-learning', 'text-mining', 'nlp-pipeline', 'text-clustering', 'texthero']","Text preprocessing, representation and visualization from zero to hero."
hzwer/eccv2022-rife,megvii-research/ECCV2022-RIFE,"['video-interpolation', 'computer-vision', 'slomo-filter', 'deep-learning']",ECCV2022-Real-Time Intermediate Flow Estimation for Video Frame Interpolation
hzwer/arxiv2021-rife,megvii-research/ECCV2022-RIFE,"['video-interpolation', 'computer-vision', 'slomo-filter', 'deep-learning']",ECCV2022-Real-Time Intermediate Flow Estimation for Video Frame Interpolation
ourownstory/neural_prophet,ourownstory/neural_prophet,"['forecasting', 'time-series', 'machine-learning', 'fbprophet', 'prophet', 'forecast', 'artificial-intelligence', 'prediction', 'trend', 'seasonality', 'autoregression', 'pytorch', 'timeseries', 'forecasting-algorithm', 'forecasting-model', 'neuralprophet', 'neural', 'neural-network', 'python', 'deep-learning']",NeuralProphet: A simple forecasting package
janspiry/image-super-resolution-via-iterative-refinement,Janspiry/Image-Super-Resolution-via-Iterative-Refinement,"['pytorch', 'diffusion-probabilistic', 'super-resolution', 'ddpm', 'image-generation']",Unofficial implementation of Image Super-Resolution via Iterative Refinement by Pytorch
open-mmlab/mmpose,open-mmlab/mmpose,"['pose-estimation', 'human-pose', 'pytorch', 'hrnet', 'mpii', 'benchmark', 'cpm', 'hourglass', 'higher-hrnet', 'crowdpose', 'ochuman', 'freihand', 'mspn', 'rsn', 'udp', 'deeppose', 'animal-pose-estimation', 'mmpose', 'hand-pose-estimation', 'face-keypoint']",OpenMMLab Pose Estimation Toolbox and Benchmark.
princeton-nlp/simcse,princeton-nlp/SimCSE,"['nlp', 'sentence-embeddings']",EMNLP'2021: SimCSE: Simple Contrastive Learning of Sentence Embeddings https://arxiv.org/abs/2104.08821
mikel-brostrom/yolov5_deepsort_pytorch,mikel-brostrom/yolov8_tracking,"['yolov5', 'strongsort', 'bytetrack', 'ocsort', 'osnet', 'deep-learning', 'segmentation', 'tensorrt', 'tracking-by-detection']",Real-time multi-object tracking and segmentation using YOLOv8
jingyunliang/swinir,JingyunLiang/SwinIR,"['image-super-resolution', 'image-denoising', 'compression-artifact-reduction', 'image-deblocking', 'transformer', 'real-world-image-super-resolution', 'lightweight-image-super-resolution', 'image-restoration', 'low-level-vision', 'vision-transformer', 'image-sr', 'restoration', 'super-resolution', 'denoising', 'deblocking', 'decompression']",SwinIR: Image Restoration Using Swin Transformer (official repository)
cleardusk/3ddfa_v2,cleardusk/3DDFA_V2,"['eccv', '3d-face-alignment', 'pytorch', 'face-alignment', '3d-face', '3dmm', 'alignment', '3d', 'computer-vision', 'onnx', '3d-landmarks', 'single-image-reconstruction', 'eccv-2020']","The official PyTorch implementation of Towards Fast, Accurate and Stable 3D Dense Face Alignment, ECCV 2020."
open-mmlab/mmaction2,open-mmlab/mmaction2,"['action-recognition', 'temporal-action-localization', 'pytorch', 'video-understanding', 'tsn', 'i3d', 'slowfast', 'ava', 'spatial-temporal-action-detection', 'benchmark', 'tsm', 'x3d', 'non-local', 'deep-learning', 'openmmlab', 'posec3d', 'video-classification']",OpenMMLab's Next Generation Video Understanding Toolbox and Benchmark
rucaibox/recbole,RUCAIBox/RecBole,"['recommender-systems', 'collaborative-filtering', 'knowledge-graph', 'ctr-prediction', 'deep-learning', 'pytorch', 'graph-neural-networks', 'sequential-recommendation', 'recommendations', 'recommendation-system', 'recommender']","A unified, comprehensive and efficient recommendation library"
zenml-io/zenml,zenml-io/zenml,"['mlops', 'machine-learning', 'data-science', 'production-ready', 'devops-tools', 'zenml', 'pipelines', 'metadata-tracking', 'deep-learning', 'pytorch', 'tensorflow', 'ml', 'ai', 'automl', 'hacktobe', 'hacktoberfest', 'workflow']","ZenML 🙏: Build portable, production-ready MLOps pipelines. https://zenml.io."
libffcv/ffcv,libffcv/ffcv,"['machine-learning', 'data-science', 'pytorch']",FFCV: Fast Forward Computer Vision (and other ML workloads!)
hzwer/arxiv2020-rife,megvii-research/ECCV2022-RIFE,"['video-interpolation', 'computer-vision', 'slomo-filter', 'deep-learning']",ECCV2022-Real-Time Intermediate Flow Estimation for Video Frame Interpolation
jdb78/pytorch-forecasting,jdb78/pytorch-forecasting,"['pytorch', 'forecasting', 'gpu', 'uncertainty', 'timeseries-forecasting', 'pytorch-lightning', 'deep-learning', 'neural-networks', 'timeseries', 'machine-learning', 'pandas', 'python', 'ai', 'artifical-intelligense', 'data-science', 'temporal']",Time series forecasting with PyTorch
zhouhaoyi/informer2020,zhouhaoyi/Informer2020,"['deep-learning', 'self-attention', 'time-series', 'pytorch', 'forecasting', 'transformer']","The GitHub repository for the paper ""Informer"" accepted by AAAI 2021."
mosaicml/composer,mosaicml/composer,"['deep-learning', 'pytorch', 'neural-networks', 'ml-systems', 'ml-efficiency', 'ml-training', 'machine-learning', 'neural-network']",Train neural networks up to 7x faster
deepmind/dm-haiku,deepmind/dm-haiku,"['machine-learning', 'neural-networks', 'jax', 'deep-learning', 'deep-neural-networks']",JAX-based neural network library
thuml/transfer-learning-library,thuml/Transfer-Learning-Library,"['domain-adaptation', 'transfer-learning', 'finetune', 'unsupervised-domain-adaptation', 'image-translation', 'adversarial-learning', 'deep-learning', 'self-training', 'semi-supervised-learning', 'dann', 'out-of-distribution-generalization']","Transfer Learning Library for Domain Adaptation, Task Adaptation, and Domain Generalization"
thunlp/openprompt,thunlp/OpenPrompt,"['nlp', 'pre-trained-language-models', 'ai', 'nlp-machine-learning', 'natural-language-processing', 'natural-language-understanding', 'deep-learning', 'pre-trained-model', 'nlp-library', 'pytorch', 'transformer', 'prompt', 'prompt-toolkit', 'prompts', 'prompt-based-tuning', 'prompt-learning']",An Open-Source Framework for Prompt-Learning.
lukas-blecher/latex-ocr,lukas-blecher/LaTeX-OCR,"['machine-learning', 'transformer', 'im2latex', 'deep-learning', 'image2text', 'latex', 'dataset', 'pytorch', 'im2markup', 'ocr', 'latex-ocr', 'vit', 'math-ocr', 'vision-transformer', 'image-processing', 'python', 'im2text']",pix2tex: Using a ViT to convert images of equations into LaTeX code.
lucidrains/x-transformers,lucidrains/x-transformers,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'transformers']",A simple but complete full-attention transformer with a set of promising experimental features from various papers
open-mmlab/mmselfsup,open-mmlab/mmselfsup,"['self-supervised-learning', 'unsupervised-learning', 'pytorch', 'moco', 'simclr', 'simsiam', 'mae', 'masked-image-modeling', 'beit']",OpenMMLab Self-Supervised Learning Toolbox and Benchmark
magicleap/supergluepretrainednetwork,magicleap/SuperGluePretrainedNetwork,"['deep-learning', 'feature-matching', 'pose-estimation', 'graph-neural-networks']","SuperGlue: Learning Feature Matching with Graph Neural Networks (CVPR 2020, Oral)"
hunglc007/tensorflow-yolov4-tflite,hunglc007/tensorflow-yolov4-tflite,"['yolov4', 'yolov3', 'tflite', 'object-detection', 'tensorflow', 'tf2', 'tensorrt', 'yolov3-tiny', 'android']","YOLOv4, YOLOv4-tiny, YOLOv3, YOLOv3-tiny Implemented in Tensorflow 2.0, Android. Convert YOLO v4 .weights tensorflow, tensorrt and tflite"
google-research/electra,google-research/electra,"['nlp', 'deep-learning', 'tensorflow']",ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators
mlfoundations/open_clip,mlfoundations/open_clip,"['deep-learning', 'pytorch', 'computer-vision', 'language-model', 'multi-modal-learning', 'contrastive-loss', 'zero-shot-classification', 'pretrained-models']",An open source implementation of CLIP.
deepchecks/deepchecks,deepchecks/deepchecks,"['machine-learning', 'ml', 'model-validation', 'data-validation', 'mlops', 'data-science', 'python', 'jupyter-notebook', 'model-monitoring', 'data-drift', 'html-report', 'deep-learning', 'pytorch', 'pandas-dataframe']",Tests for Continuous Validation of ML Models & Data. Deepchecks is a Python package for comprehensively validating your machine learning models and data with minimal effort.
