Post Link,Title,Body
62703391,Estimate token probability/logits given a sentence without computing the entire sentence,"<p>I have a sentence like:  <code>&quot;I like sitting in my new chair and _____ about life&quot;</code>.</p>
<p>And I have a SPECIFIC set of tokens like <code>[&quot;watch&quot;, &quot;run&quot;, &quot;think&quot;, &quot;apple&quot;, &quot;light&quot;]</code></p>
<p>I would like to calculate the probability of each of those tokens to appear as the next word in that incomplete sentence. Hopefully I should get that the probability of <code>&quot;think&quot;</code> is higher that <code>&quot;apple&quot;</code> for instance.</p>
<p>I am working with pytorch-transformers (GPT2LMHeadModel specifically), and a possible solution is to evaluate the score of the full sentence with each of the tokens, but when number of tokens to evaluate is on the order of 100 or 1000 then the computation time starts to be too long.</p>
<p>It must be possible to process the sentence only once and somehow use the hidden states to calculate the probabilities of the set of tokens, but I don't know how to do it.</p>
<p>Any ideas? Thanks in advance</p>
<hr />
<p>EDIT:</p>
<p>The actual code looks like the one below (estimating the probability for the full sentence every time). For every sentence it takes about 0.1 seconds to run the <code>score()</code> method, which turns into hours if I want to evaluate some thousands of words.</p>
<pre><code>from pytorch_transformers import GPT2Tokenizer, GPT2LMHeadModel
import pandas as pd

model = GPT2LMHeadModel.from_pretrained(&quot;gpt2&quot;)
model.eval()
tokenizer = GPT2Tokenizer.from_pretrained(&quot;gpt2&quot;)


def score(sentence):
    tokenize_input = tokenizer.tokenize(sentence)
    tensor_input = torch.tensor([tokenizer.convert_tokens_to_ids(tokenize_input)])
    loss = model(tensor_input, labels=tensor_input)
    return -loss[0].item()


candidates = [&quot;watch&quot;, &quot;run&quot;, &quot;think&quot;, &quot;apple&quot;, &quot;light&quot;]
sent_template = &quot;I like sitting in my new chair and {} about life&quot;
print({candidate: score(sent_template.format(candidate)) for candidate in candidates})
</code></pre>
"
62746180,ImportError: cannot import name 'hf_bucket_url' in HuggingFace Transformers,"<p>So I installed the latest version of transformers on Google Colab</p>
<pre><code>!pip install transformers 
</code></pre>
<p>When trying to invoke the conversion file using</p>
<pre><code>!python /usr/local/lib/python3.6/dist-packages/transformers/convert_pytorch_checkpoint_to_tf2.py .py --help  
</code></pre>
<p>Or trying to use</p>
<pre><code>from transformers.file_utils import hf_bucket_url.                                 // works 
from transformers.convert_pytorch_checkpoint_to_tf2 import *.                      // fails

convert_pytorch_checkpoint_to_tf(&quot;gpt2&quot;, pytorch_file, config_file, tf_file).      
</code></pre>
<p>I get this error</p>
<pre><code> ImportError                               Traceback (most recent call last)

&lt;ipython-input-3-dadaf83ecea0&gt; in &lt;module&gt;()
      1 from transformers.file_utils import hf_bucket_url
----&gt; 2 from transformers.convert_pytorch_checkpoint_to_tf2 import *
      3 
      4 convert_pytorch_checkpoint_to_tf(&quot;gpt2&quot;, pytorch_file, config_file, tf_file)
/usr/local/lib/python3.6/dist-packages/transformers/convert_pytorch_checkpoint_to_tf2.py in &lt;module&gt;()
     20 import os
     21 
---&gt; 22 from transformers import (
     23     ALBERT_PRETRAINED_CONFIG_ARCHIVE_MAP,
     24     BERT_PRETRAINED_CONFIG_ARCHIVE_MAP,

ImportError: cannot import name 'hf_bucket_url'
</code></pre>
<p>What's going on?</p>
"
62782001,Using Hugging Face Transformers library how can you POS_TAG French text,"<p>I am trying to POS_TAG French using the Hugging Face Transformers library. In English I was able to do so given a sentence like e.g:</p>
<blockquote>
<p>The weather is really great. So let us go for a walk.</p>
</blockquote>
<p>the result is:</p>
<pre><code>    token   feature
0   The     DET
1   weather NOUN
2   is      AUX
3   really  ADV
4   great   ADJ
5   .       PUNCT
6   So      ADV
7   let     VERB
8   us      PRON
9   go      VERB
10  for     ADP
11  a       DET
12  walk    NOUN
13  .       PUNCT
</code></pre>
<p>Does anyone have an idea how a similar thing could be achieved for French?</p>
<p>This is the code I used for the English version in a Jupyter notebook:</p>
<pre><code>!git clone https://github.com/bhoov/spacyface.git
!python -m spacy download en_core_web_sm

from transformers import pipeline
import numpy as np
import pandas as pd

nlp = pipeline('feature-extraction')
sequence = &quot;The weather is really great. So let us go for a walk.&quot;
result = nlp(sequence)
# Just displays the size of the embeddings. The sequence
# In this case there are 16 tokens and the embedding size is 768
np.array(result).shape

import sys
sys.path.append('spacyface')

from spacyface.aligner import BertAligner

alnr = BertAligner.from_pretrained(&quot;bert-base-cased&quot;)
tokens = alnr.meta_tokenize(sequence)
token_data = [{'token': tok.token, 'feature': tok.pos} for tok in tokens]
pd.DataFrame(token_data)
</code></pre>
<p>The output of this notebook is above.</p>
"
62830783,"Scripts missing for GPT-2 fine tune, and inference in Hugging-face GitHub?","<p>I am following the <a href=""https://huggingface.co/transformers/v2.0.0/examples.html"" rel=""nofollow noreferrer"">documentation</a> on the hugging face website, in there they say that to fine-tune GPT-2 I should use the script
<a href=""https://github.com/huggingface/transformers/blob/master/examples/run_lm_finetuning.py"" rel=""nofollow noreferrer"">run_lm_finetuning.py</a> for fine-tuning, and the script <a href=""https://github.com/huggingface/transformers/blob/master/examples/run_generation.py"" rel=""nofollow noreferrer"">run_generation.py</a>
for inference.
However, both scripts don't actually exist on GitHub anymore.</p>
<p>Does anybody know whether the documentation is outdated? or where to find those two scripts?</p>
<p>Thanks</p>
"
62978957,Sliding window for long text in BERT for Question Answering,"<p>I've read post which explains how the sliding window works but I cannot find any information on how it is actually implemented.</p>
<p>From what I understand if the input are too long, sliding window can be used to process the text.</p>
<p>Please correct me if I am wrong.
Say I have a text <em><strong>&quot;In June 2017 Kaggle announced that it passed 1 million registered users&quot;</strong></em>.</p>
<p>Given some <code>stride</code> and <code>max_len</code>, the input can be split into chunks with over lapping words (not considering padding).</p>
<pre><code>In June 2017 Kaggle announced that # chunk 1
announced that it passed 1 million # chunk 2
1 million registered users # chunk 3
</code></pre>
<p>If my questions were <em><strong>&quot;when did Kaggle make the announcement&quot;</strong></em> and <em><strong>&quot;how many registered users&quot;</strong></em> I can use <code>chunk 1</code> and <code>chunk 3</code> and <strong>not use</strong> <code>chunk 2</code> <strong>at all</strong> in the model. Not quiet sure if I should still use <code>chunk 2</code> to train the model</p>
<p>So the input will be:
<code>[CLS]when did Kaggle make the announcement[SEP]In June 2017 Kaggle announced that[SEP]</code>
and
<code>[CLS]how many registered users[SEP]1 million registered users[SEP]</code></p>
<hr>
<p>Then if I have a question with no answers do I feed it into the model with all chunks like and indicate the starting and ending index as <strong>-1</strong>? For example <em><strong>&quot;can pigs fly?&quot;</strong></em></p>
<p><code>[CLS]can pigs fly[SEP]In June 2017 Kaggle announced that[SEP]</code></p>
<p><code>[CLS]can pigs fly[SEP]announced that it passed 1 million[SEP]</code></p>
<p><code>[CLS]can pigs fly[SEP]1 million registered users[SEP]</code></p>
<hr>
<p>As suggested in the comments, II tried to run <code>squad_convert_example_to_features</code> (<a href=""https://github.com/huggingface/transformers/blob/1af58c07064d8f4580909527a8f18de226b226ee/src/transformers/data/processors/squad.py#L134"" rel=""noreferrer"">source code</a>) to investigate the problem I have above, but it doesn't seem to work, nor there are any documentation. It seems like <code>run_squad.py</code> from huggingface uses <code>squad_convert_example_to_features</code> with the <code>s</code> in <code>example</code>.</p>
<pre class=""lang-py prettyprint-override""><code>from transformers.data.processors.squad import SquadResult, SquadV1Processor, SquadV2Processor, squad_convert_example_to_features
from transformers import AutoTokenizer, AutoConfig, squad_convert_examples_to_features

FILE_DIR = &quot;.&quot;

tokenizer = AutoTokenizer.from_pretrained(&quot;bert-base-uncased&quot;)
processor = SquadV2Processor()
examples = processor.get_train_examples(FILE_DIR)

features = squad_convert_example_to_features(
    example=examples[0],
    max_seq_length=384,
    doc_stride=128,
    max_query_length=64,
    is_training=True,
)
</code></pre>
<p>I get the error.</p>
<pre><code>100%|â–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆ| 1/1 [00:00&lt;00:00, 159.95it/s]
Traceback (most recent call last):
  File &quot;&lt;input&gt;&quot;, line 25, in &lt;module&gt;
    sub_tokens = tokenizer.tokenize(token)
NameError: name 'tokenizer' is not defined
</code></pre>
<p>The error indicates that there are no <code>tokenizers</code> but it does not allow us to pass a <code>tokenizer</code>. Though it does work if I add a tokenizer while I am inside the function in debug mode. So how exactly do I use the <code>squad_convert_example_to_features</code> function?</p>
"
63020991,cannot import name 'pipline' from 'transformers' (unknown location),"<p>I am getting this error when trying following code in the jupyter-lab:</p>
<pre class=""lang-py prettyprint-override""><code>from transformers import pipeline
</code></pre>
<p>Amazingly, if I copy that line of code in a <code>code_test.py</code> file, and execute it using <code>python3 code_test.py</code>(both in the terminal and jupyter-lab itself) everything will work fine.</p>
<p>I am using jupyter-lab and which is configured to use a virtual-env(the one containing transformers module).</p>
<p>I have searched for similar problems, but none of proposed solutions worked(such as reinstalling the <strong>transformers</strong> module).</p>
<p><strong>Edited</strong>:</p>
<p>Output of <code>sys.path</code> in jupyter-lab:</p>
<pre class=""lang-py prettyprint-override""><code>['/Users/{my_username}/{path_to_my_project}/code',
 '/usr/local/Cellar/python/3.7.6_1/Frameworks/Python.framework/Versions/3.7/lib/python37.zip',
 '/usr/local/Cellar/python/3.7.6_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7',
 '/usr/local/Cellar/python/3.7.6_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload',
 '',
 '/Users/{my_username}/Library/Python/3.7/lib/python/site-packages',
 '/usr/local/lib/python3.7/site-packages',
 '/Users/{my_username}/Library/Python/3.7/lib/python/site-packages/IPython/extensions',
 '/Users/{{my_username}/.ipython']
</code></pre>
<p>Output of sys.path in <code>code_test.py</code>:</p>
<pre><code>['/Users/{my_username}/{path_to_my_project}/code',
'/Library/Frameworks/Python.framework/Versions/3.7/lib/python37.zip',
'/Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7',
'/Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload',
'/Users/{my_username}/{path_to_my_project}/code/env/lib/python3.7/site-packages']
</code></pre>
"
63141267,ImportError: cannot import name 'AutoModelWithLMHead' from 'transformers',"<p>This is literally all the code that I am trying to run:</p>
<pre><code>from transformers import AutoModelWithLMHead, AutoTokenizer
import torch

tokenizer = AutoTokenizer.from_pretrained(&quot;microsoft/DialoGPT-small&quot;)
model = AutoModelWithLMHead.from_pretrained(&quot;microsoft/DialoGPT-small&quot;)
</code></pre>
<p>I am getting this error:</p>
<pre><code>---------------------------------------------------------------------------
ImportError                               Traceback (most recent call last)
&lt;ipython-input-14-aad2e7a08a74&gt; in &lt;module&gt;
----&gt; 1 from transformers import AutoModelWithLMHead, AutoTokenizer
      2 import torch
      3 
      4 tokenizer = AutoTokenizer.from_pretrained(&quot;microsoft/DialoGPT-small&quot;)
      5 model = AutoModelWithLMHead.from_pretrained(&quot;microsoft/DialoGPT-small&quot;)

ImportError: cannot import name 'AutoModelWithLMHead' from 'transformers' (c:\python38\lib\site-packages\transformers\__init__.py)
</code></pre>
<p>What do I do about it?</p>
"
63152188,HuggingFace Transformers: BertTokenizer changing characters,"<p>I have downloaded the Norwegian BERT-model from <a href=""https://github.com/botxo/nordic_bert"" rel=""nofollow noreferrer"">https://github.com/botxo/nordic_bert</a>, and loaded it in using:</p>
<pre><code>import transformers as t

model_class = t.BertModel
tokenizer_class = t.BertTokenizer

tokenizer = tokenizer_class.from_pretrained(/PATH/TO/MODEL/FOLDER)
model = model_class.from_pretrained(/PATH/TO/MODEL)
model.eval()
</code></pre>
<p>This works very well, however when i try to tokenize a given sentence, some nordic characters such as &quot;Ã¸&quot; and &quot;Ã¦&quot; remain the same, whereas all words having the char &quot;Ã¥&quot; is replaced with &quot;a&quot;.
For instance:</p>
<pre><code>s = &quot;Ã¦ Ã¸ Ã¥ lÃ¸pe fÃ¥ Ã¦rfugl&quot;
print(tokenizer.tokenize(s))
</code></pre>
<p>Yields:</p>
<pre><code>['Ã¦', 'Ã¸', 'a', 'lÃ¸p', '##e', 'fa', 'Ã¦r', '##fugl']
</code></pre>
<p>Thanks</p>
"
63201036,Add additional layers to the Huggingface transformers,"<p>I want to add additional <code>Dense</code> layer after pretrained <code>TFDistilBertModel</code>, <code>TFXLNetModel</code> and <code>TFRobertaModel</code> Huggingface models. I have already seen how I can do this with the <code>TFBertModel</code>, e.g. <a href=""https://www.kaggle.com/dhruv1234/huggingface-tfbertmodel"" rel=""noreferrer"">in this notebook</a>:</p>
<pre><code>output = bert_model([input_ids,attention_masks])
output = output[1]
output = tf.keras.layers.Dense(32,activation='relu')(output)
</code></pre>
<p>So, here I need to use the second item(i.e. item with index <code>1</code>) of the <code>BERT</code> output tuple. According to the <a href=""https://huggingface.co/transformers/model_doc/bert.html#tfbertmodel"" rel=""noreferrer"">docs</a> <code>TFBertModel</code> has <code>pooler_output</code> at this tuple index. But the other three models don't have <code>pooler_output</code>.</p>
<p>So, how can I add additional layers to the other three model outputs?</p>
"
63211463,Error Expected object of device type cuda but got device type cpu for argument #1 'self' in call to _th_index_select,"<p>I have the following code taken directly from <a href=""https://towardsdatascience.com/simple-abstractive-text-summarization-with-pretrained-t5-text-to-text-transfer-transformer-10f6d602c426"" rel=""nofollow noreferrer"">here</a> with some pretty little modifications:</p>
<pre><code>import pandas as pd
import torch
import json 
from transformers import T5Tokenizer, T5ForConditionalGeneration, T5Config
from torch import cuda

df = pd.read_pickle('df_final.pkl')

model = T5ForConditionalGeneration.from_pretrained('t5-base')
tokenizer = T5Tokenizer.from_pretrained('t5-base')
device = 'cuda' if cuda.is_available() else 'cpu'

text = ''.join(df[(df['col1'] == 'type') &amp; (df['col2'] == 2)].col3.to_list())

preprocess_text = text.strip().replace(&quot;\n&quot;,&quot;&quot;)
t5_prepared_Text = &quot;summarize: &quot;+preprocess_text
#print (&quot;original text preprocessed: \n&quot;, preprocess_text)

tokenized_text = tokenizer.encode(t5_prepared_Text, return_tensors=&quot;pt&quot;, max_length = 500000).to(device)


# summmarize 
summary_ids = model.generate(tokenized_text,
                                    num_beams=4,
                                    no_repeat_ngram_size=2,
                                    min_length=30,
                                    max_length=100,
                                    early_stopping=True)

output = tokenizer.decode(summary_ids[0], skip_special_tokens=True)

print (&quot;\n\nSummarized text: \n&quot;,output)
</code></pre>
<p>When executing the <code>model_generate()</code> part i get an error like this:</p>
<pre><code>---------------------------------------------------------------------------
RuntimeError                              Traceback (most recent call last)
&lt;ipython-input-12-e8e9819a85dc&gt; in &lt;module&gt;
     12                                     min_length=30,
     13                                     max_length=100,
---&gt; 14                                     early_stopping=True).to(device)
     15 
     16 output = tokenizer.decode(summary_ids[0], skip_special_tokens=True)

~\Anaconda3\lib\site-packages\torch\autograd\grad_mode.py in decorate_no_grad(*args, **kwargs)
     47         def decorate_no_grad(*args, **kwargs):
     48             with self:
---&gt; 49                 return func(*args, **kwargs)
     50         return decorate_no_grad
     51 

~\Anaconda3\lib\site-packages\transformers\generation_utils.py in generate(self, input_ids, max_length, min_length, do_sample, early_stopping, num_beams, temperature, top_k, top_p, repetition_penalty, bad_words_ids, bos_token_id, pad_token_id, eos_token_id, length_penalty, no_repeat_ngram_size, num_return_sequences, attention_mask, decoder_start_token_id, use_cache, **model_specific_kwargs)
    383             encoder = self.get_encoder()
    384 
--&gt; 385             encoder_outputs: tuple = encoder(input_ids, attention_mask=attention_mask)
    386 
    387         # Expand input ids if num_beams &gt; 1 or num_return_sequences &gt; 1

~\Anaconda3\lib\site-packages\torch\nn\modules\module.py in __call__(self, *input, **kwargs)
    539             result = self._slow_forward(*input, **kwargs)
    540         else:
--&gt; 541             result = self.forward(*input, **kwargs)
    542         for hook in self._forward_hooks.values():
    543             hook_result = hook(self, input, result)

~\Anaconda3\lib\site-packages\transformers\modeling_t5.py in forward(self, input_ids, attention_mask, encoder_hidden_states, encoder_attention_mask, inputs_embeds, head_mask, past_key_value_states, use_cache, output_attentions, output_hidden_states, return_dict)
    701         if inputs_embeds is None:
    702             assert self.embed_tokens is not None, &quot;You have to intialize the model with valid token embeddings&quot;
--&gt; 703             inputs_embeds = self.embed_tokens(input_ids)
    704 
    705         batch_size, seq_length = input_shape

~\Anaconda3\lib\site-packages\torch\nn\modules\module.py in __call__(self, *input, **kwargs)
    539             result = self._slow_forward(*input, **kwargs)
    540         else:
--&gt; 541             result = self.forward(*input, **kwargs)
    542         for hook in self._forward_hooks.values():
    543             hook_result = hook(self, input, result)

~\Anaconda3\lib\site-packages\torch\nn\modules\sparse.py in forward(self, input)
    112         return F.embedding(
    113             input, self.weight, self.padding_idx, self.max_norm,
--&gt; 114             self.norm_type, self.scale_grad_by_freq, self.sparse)
    115 
    116     def extra_repr(self):

~\Anaconda3\lib\site-packages\torch\nn\functional.py in embedding(input, weight, padding_idx, max_norm, norm_type, scale_grad_by_freq, sparse)
   1482         # remove once script supports set_grad_enabled
   1483         _no_grad_embedding_renorm_(weight, input, max_norm, norm_type)
-&gt; 1484     return torch.embedding(weight, input, padding_idx, scale_grad_by_freq, sparse)
   1485 
   1486 

RuntimeError: Expected object of device type cuda but got device type cpu for argument #1 'self' in call to _th_index_select
â€‹
</code></pre>
<p>I've searched this error and fouund some other threads like <a href=""https://stackoverflow.com/questions/55278566/runtimeerror-expected-object-of-backend-cuda-but-got-backend-cpu-for-argument"">this</a> one and <a href=""https://stackoverflow.com/questions/58799486/expected-object-of-device-type-cuda-but-got-device-type-cpu-in-pytorch"">this</a> one but they didn't help me much since their case seems to be completely different. In my case there are no custom instances or classes created, so i don't know how to fix this or where the error come from.</p>
<p>Could you please tell me where is the error coming from and how could i fix it?</p>
<p>Thank you very much in advance.</p>
"
63221913,"Named Entity Recognition with Huggingface transformers, mapping back to complete entities","<p>I'm looking at the documentation for <a href=""https://huggingface.co/transformers/task_summary.html#named-entity-recognition"" rel=""noreferrer"">Huggingface pipeline for Named Entity Recognition</a>, and it's not clear to me how these results are meant to be used in an actual entity recognition model.</p>
<p>For instance, given the example in documentation:</p>
<pre><code>&gt;&gt;&gt; from transformers import pipeline

&gt;&gt;&gt; nlp = pipeline(&quot;ner&quot;)

&gt;&gt;&gt; sequence = &quot;Hugging Face Inc. is a company based in New York City. Its headquarters are in DUMBO, therefore very&quot;
...            &quot;close to the Manhattan Bridge which is visible from the window.&quot;

This outputs a list of all words that have been identified as an entity from the 9 classes     defined above. Here is the expected results:

print(nlp(sequence))

[
{'word': 'Hu', 'score': 0.9995632767677307, 'entity': 'I-ORG'},
{'word': '##gging', 'score': 0.9915938973426819, 'entity': 'I-ORG'},
{'word': 'Face', 'score': 0.9982671737670898, 'entity': 'I-ORG'},
{'word': 'Inc', 'score': 0.9994403719902039, 'entity': 'I-ORG'},
{'word': 'New', 'score': 0.9994346499443054, 'entity': 'I-LOC'},
{'word': 'York', 'score': 0.9993270635604858, 'entity': 'I-LOC'},
{'word': 'City', 'score': 0.9993864893913269, 'entity': 'I-LOC'},
{'word': 'D', 'score': 0.9825621843338013, 'entity': 'I-LOC'},
{'word': '##UM', 'score': 0.936983048915863, 'entity': 'I-LOC'},
{'word': '##BO', 'score': 0.8987102508544922, 'entity': 'I-LOC'},
{'word': 'Manhattan', 'score': 0.9758241176605225, 'entity': 'I-LOC'},
{'word': 'Bridge', 'score': 0.990249514579773, 'entity': 'I-LOC'}
]
</code></pre>
<p>While this alone is impressive, it isn't clear to me the correct way to get  &quot;DUMBO&quot; from:</p>
<pre><code>{'word': 'D', 'score': 0.9825621843338013, 'entity': 'I-LOC'},
{'word': '##UM', 'score': 0.936983048915863, 'entity': 'I-LOC'},
{'word': '##BO', 'score': 0.8987102508544922, 'entity': 'I-LOC'},
</code></pre>
<p>---or even to the cleaner multiple token matches, like distinguishing &quot;New York City&quot; from simply the city of &quot;York.&quot;</p>
<p>While I can imagine heuristic methods, what's the correct intended way to join these tokens back into correct labels given your inputs?</p>
"
63280435,huggingface transformers: truncation strategy in encode_plus,"<p><a href=""https://huggingface.co/transformers/main_classes/tokenizer.html#transformers.PreTrainedTokenizer.__call__"" rel=""nofollow noreferrer""><code>encode_plus</code></a> in huggingface's transformers library allows truncation of the input sequence. Two parameters are relevant: <code>truncation</code> and <code>max_length</code>. I'm passing a paired input sequence to <code>encode_plus</code> and need to truncate the input sequence simply in a &quot;cut off&quot; manner, i.e., if the whole sequence consisting of both inputs <code>text</code> and <code>text_pair</code> is longer than <code>max_length</code> it should just be truncated correspondingly from the right.</p>
<p>It seems that neither of the truncation strategies allows to do this, instead <code>longest_first</code> removes tokens from the longest sequence (which could be either text or text_pair, but not just simply from the right or end of the sequence, e.g., if text is longer that text_pair, it seems this would remove tokens from text first), <code>only_first</code> and <code>only_second</code> remove tokens from only the first or second (hence, also not simply from the end), and <code>do_not_truncate</code> does not truncate at all. Or did I misunderstood this and actually <code>longest_first</code> might be what I'm looking for?</p>
"
63387831,Memory Issue while following LM tutorial,"<p>SPECS:
OS: Windows 10
CUDA: 10.1
GPU: RTX 2060 6G VRAM (x2)
RAM: 32GB
tutorial: <a href=""https://huggingface.co/blog/how-to-train"" rel=""nofollow noreferrer"">https://huggingface.co/blog/how-to-train</a></p>
<p>Hello I am trying to train my own language model and I have had some memory issues. I have tried to run some of this code in Pycharm on my computer and then trying to replicate in my Collab Pro Notebook.</p>
<h2>First, my code</h2>
<pre><code>from transformers import RobertaConfig, RobertaTokenizerFast, RobertaForMaskedLM, LineByLineTextDataset
from transformers import DataCollatorForLanguageModeling, Trainer, TrainingArguments

config = RobertaConfig(vocab_size=60000, max_position_embeddings=514, num_attention_heads=12, num_hidden_layers=6,
                       type_vocab_size=1)

tokenizer = RobertaTokenizerFast.from_pretrained(&quot;./MODEL DIRECTORY&quot;, max_len=512)

model = RobertaForMaskedLM(config=config)

print(&quot;making dataset&quot;)

dataset = LineByLineTextDataset(tokenizer=tokenizer, file_path=&quot;./total_text.txt&quot;, block_size=128)

print(&quot;making c&quot;)

data_collator = DataCollatorForLanguageModeling(tokenizer=tokenizer, mlm=True, mlm_probability=0.15)

training_args = TrainingArguments(output_dir=&quot;./MODEL DIRECTORY&quot;, overwrite_output_dir=True, num_train_epochs=1,
                                  per_gpu_train_batch_size=64, save_steps=10000, save_total_limit=2)
print(&quot;Building trainer&quot;)
trainer = Trainer(model=model, args=training_args, data_collator=data_collator, train_dataset=dataset,
                  prediction_loss_only=True)
trainer.train()

trainer.save_model(&quot;./MODEL DIRECTORY&quot;)

</code></pre>
<p><code>&quot;./total_text.txt&quot;</code> being a 1.7GB text file.</p>
<h2>PyCharm Attempt</h2>
<p>This code on pycharm builds the dataset and then would throw an error saying that my preferred gpu was running out of memory, and that Torch was already using 3.7GiB of memory.</p>
<p>I tried:</p>
<ul>
<li>import gc doing a gc clear to try to flush what ever was going on my gpu</li>
<li>Decreasing my batch size for my gpu (training only happened on a batch size of 8 resulting in 200,000+ epochs that all took 1.17 seconds)</li>
<li>Setting my <code>os.environ[&quot;CUDA_VISIBLE_OBJECTS&quot;] =&quot;&quot;</code> so that torch would have to use my CPU and not my GPU. Still threw same gpu memory error...</li>
</ul>
<p>So succumbing to the fact that torch, for the time being, was forcing itself to use my gpu, I decided to go to Collab.</p>
<h2>Collab Attempt</h2>
<p>Collab has different issues with my code. It does not have the memory to build the dataset, and crashes due to RAM shortages. I purchased a Pro account and then increased the usable RAM to 25GB, still memory shortages.</p>
<p>Cheers!</p>
"
63413414,Is there a way to get the location of the substring from which a certain token has been produced in BERT?,"<p>I am feeding sentences to a BERT model (Hugging Face library). These sentences get tokenized with a pretrained tokenizer. I know that you can use the decode function to go back from tokens to strings.</p>
<pre><code>string = tokenizer.decode(...)
</code></pre>
<p>However, the reconstruction is not perfect. If you use an uncased pretrained model, the uppercase letters get lost. Also, if the tokenizer splits a word into 2 tokens, the second token will start with '##'. For example, the word 'coronavirus' gets split into 2 tokens: 'corona' and '##virus'.</p>
<p>So my question is: is there a way to get the indices of the substring from which every token is created?
For example, take the string &quot;Tokyo to report nearly 370 new coronavirus cases, setting new single-day record&quot;. The 9th token is the token corresponding to 'virus'.</p>
<pre><code>['[CLS]', 'tokyo', 'to', 'report', 'nearly', '370', 'new', 'corona', '##virus', 'cases', ',', 'setting', 'new', 'single', '-', 'day', 'record', '[SEP]']
</code></pre>
<p>I want something that tells me that the token '##virus' comes from the 'virus' substring in the original string, which is located between the indices 37 and 41 of the original string.</p>
<pre><code>sentence = &quot;Tokyo to report nearly 370 new coronavirus cases, setting new single-day record&quot;
print(sentence[37:42]) # --&gt; outputs 'virus
</code></pre>
"
63461262,BERT sentence embeddings from transformers,"<p>I'm trying to get sentence vectors from hidden states in a BERT model.  Looking at the huggingface BertModel instructions <a href=""https://huggingface.co/bert-base-multilingual-cased?text=This%20sentence%20etc"" rel=""noreferrer"">here</a>, which say:</p>
<pre><code>from transformers import BertTokenizer, BertModel
tokenizer = BertTokenizer.from_pretrained('bert-base-multilingual-cased')
model = BertModel.from_pretrained(&quot;bert-base-multilingual-cased&quot;)
text = &quot;Replace me by any text you'd like.&quot;
encoded_input = tokenizer(text, return_tensors='pt') 
output = model(**encoded_input)
</code></pre>
<p>So first note, as it is on the website, this does /not/ run. You get:</p>
<pre><code>&gt;&gt;&gt; Traceback (most recent call last):
  File &quot;&lt;stdin&gt;&quot;, line 1, in &lt;module&gt;
TypeError: 'BertTokenizer' object is not callable
</code></pre>
<p>But it looks like a minor change fixes it, in that you don't call the tokenizer directly, but ask it to encode the input:</p>
<pre><code>encoded_input = tokenizer.encode(text, return_tensors=&quot;pt&quot;)
output = model(encoded_input)
</code></pre>
<p>OK, that aside, the tensors I get, however, have a different shape than I expected:</p>
<pre><code>&gt;&gt;&gt; output[0].shape
torch.Size([1,11,768])
</code></pre>
<p>This is a lot of layers.  Which is the correct layer to use for sentence embeddings?  <code>[0]</code>?  <code>[-1]</code>?  Averaging several?  I have the goal of being able to do cosine similarity with these, so I need a proper 1xN vector rather than an NxK tensor.</p>
<p>I see that the popular <a href=""https://github.com/hanxiao/bert-as-service#building-a-qa-semantic-search-engine-in-3-minutes"" rel=""noreferrer"">bert-as-a-service project</a> appears to use <code>[0]</code></p>
<p>Is this correct? Is there documentation for what each of the layers are?</p>
"
63461821,What features are used in the default transformers pipeline?,"<p>I'm looking <a href=""https://huggingface.co/transformers/main_classes/pipelines.html#featureextractionpipeline"" rel=""nofollow noreferrer"">here at the feature extraction pipeline</a>.</p>
<p>I initialize with the following:</p>
<pre><code>from transformers import pipeline 
pipe = pipeline(&quot;feature-extraction&quot;) 
features = pipe(&quot;test&quot;)
</code></pre>
<p>And I get a bunch of features.  What model is this using by default?  How can I initialize this pipeline to use a particular pre-trained model?</p>
<pre><code>len(features)
1
&gt;&gt;&gt; features
[[[0.4122459590435028, 0.10175584256649017, 0.09342928230762482, -0.3119196593761444, -0.3226662278175354, -0.16414110362529755, 0.06356583535671234, -0.03167172893881798, -0.010002809576690197, -1.1153486967086792, -0.3304346203804016, 0.1727224737405777, -0.0904250368475914, -0.04243310168385506, -0.4745883047580719, 0.09118127077817917, 0.4240476191043854, 0.2237153798341751, 0.12108077108860016, -0.16883963346481323, 0.055300742387771606, -0.07225772738456726, 0.4521999955177307, -0.31655701994895935, 0.05917530879378319, -0.0343029648065567, 0.4157347083091736, 0.10791877657175064, -0
...etc
</code></pre>
<p>While the document tells me:</p>
<blockquote>
<p>All models may be used for this pipeline. See a list of all models, including community-contributed models on huggingface.co/models.</p>
</blockquote>
<p>It's not clear to me where to initialize the models in this link.  The API is very terse.</p>
"
